group,n,median,q25,q75
Healthy,2330,0.09,-5.04,5.1175
No Dementia,7633,2.132821130941508,-1.116306889535409,5.662896012649867
Symptomatic,1384,2.6954782862933477,-0.6159565174438377,6.961190212683519
MCI,318,2.3271668029888133,-1.545724357524776,5.825767538999916
Dementia,227,3.647683627869021,-0.4644706983604436,7.621778596177656
